id,number,group,measurement.date,SPAD
C41,41,C,19.09.2022,38.5
C43,43,C,19.09.2022,32.3
C44,44,C,19.09.2022,28.8
C52,52,C,19.09.2022,35.2
C53,53,C,19.09.2022,40.5
D56,56,D,19.09.2022,31.3
D57,57,D,19.09.2022,35.4
D60,60,D,19.09.2022,30.9
D62,62,D,19.09.2022,25.8
D66,66,D,19.09.2022,36.6
D67,67,D,19.09.2022,35.6
D69,69,D,19.09.2022,40.8
D71,71,D,19.09.2022,27.4
E75,75,E,19.09.2022,34.6
E78,78,E,19.09.2022,37
E79,79,E,19.09.2022,37.9
E81,81,E,19.09.2022,32.3
E82,82,E,19.09.2022,34.1
E89,89,E,19.09.2022,38.6
E90,90,E,19.09.2022,31.5
F92,92,F,19.09.2022,32.1
F96,96,F,19.09.2022,36.3
F102,102,F,19.09.2022,33.2
F104,104,F,19.09.2022,32.8
F107,107,F,19.09.2022,40
G109,109,G,19.09.2022,36
G111,111,G,19.09.2022,32.1
G114,114,G,19.09.2022,41.1
G116,116,G,19.09.2022,35.5
G117,117,G,19.09.2022,37
G119,119,G,19.09.2022,39.5
G121,121,G,19.09.2022,31.6
G124,124,G,19.09.2022,34.2
H129,129,H,19.09.2022,34.4
H132,132,H,19.09.2022,27.8
H136,136,H,19.09.2022,30.9
H138,138,H,19.09.2022,34.1
H139,139,H,19.09.2022,27.4
H141,141,H,19.09.2022,34.6
H143,143,H,19.09.2022,45.3
H144,144,H,19.09.2022,30.7
I146,146,I,19.09.2022,30.7
I148,148,I,19.09.2022,30.2
I149,149,I,19.09.2022,34.1
I150,150,I,19.09.2022,34.9
I151,151,I,19.09.2022,29.9
I154,154,I,19.09.2022,27.5
I155,155,I,19.09.2022,25.5
I159,159,I,19.09.2022,33.1
J163,163,J,19.09.2022,29.5
J167,167,J,19.09.2022,24
J172,172,J,19.09.2022,27.7
J173,173,J,19.09.2022,36.1
J174,174,J,19.09.2022,35.4
